date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:15:53	16780/16780	---MCZ	200	added ('OK')	application/font-woff	etag:%226450a989a2ad63d5d891715f9916ef48-ssl-df%22	https://spark.bootlab.io/fonts/fa-regular-400.woff	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-regular-400.woff	(from https://spark.bootlab.io/css/modern.css)
23:15:55	34052/34052	---M--	200	added ('OK')	font/ttf	etag:%22d24bb45669ef099524a5dc95225d2a5e-ssl%22	https://spark.bootlab.io/fonts/fa-regular-400.ttf	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-regular-400.ttf	(from https://spark.bootlab.io/css/modern.css)
23:15:55	312749/312749	---MCZ	200	added ('OK')	image/svg+xml	etag:%225492f823582bfaa06e1750134959af7d-ssl-df%22	https://spark.bootlab.io/fonts/ionicons.svg	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/ionicons.svg	(from https://spark.bootlab.io/css/modern.css)
23:15:56	144715/144715	---MCZ	200	added ('OK')	image/svg+xml	etag:%226856f1c1cd94e96fb8c3bab6285fcd06-ssl-df%22	https://spark.bootlab.io/fonts/fa-regular-400.svg	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-regular-400.svg	(from https://spark.bootlab.io/css/modern.css)
23:15:58	204266/204266	---MCZ	200	added ('OK')	application/octet-stream	etag:%223981fa3bc7983e15c993eeba7a2bfbd4-ssl-df%22	https://spark.bootlab.io/fonts/fa-solid-900.eot	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-solid-900.eot	(from https://spark.bootlab.io/css/modern.css)
23:15:58	80148/80148	---M--	200	added ('OK')	font/woff2	etag:%229197b69561edf58927de5c02492da832-ssl%22	https://spark.bootlab.io/fonts/fa-solid-900.woff2	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-solid-900.woff2	(from https://spark.bootlab.io/css/modern.css)
23:15:58	204266/204266	---M-Z	200	added ('OK')	application/octet-stream	etag:%223981fa3bc7983e15c993eeba7a2bfbd4-ssl-df%22	https://spark.bootlab.io/fonts/fa-solid-900.eot?	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-solid-900d41d.eot	(from https://spark.bootlab.io/css/modern.css)
23:16:00	104004/104004	---MCZ	200	added ('OK')	application/font-woff	etag:%220714c6936e48ff8a6595b7e09c3f5725-ssl-df%22	https://spark.bootlab.io/fonts/fa-solid-900.woff	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-solid-900.woff	(from https://spark.bootlab.io/css/modern.css)
23:16:02	134622/134622	---MCZ	200	added ('OK')	application/octet-stream	etag:%2287238d2daed10c1cb56b739b57c44ccf-ssl-df%22	https://spark.bootlab.io/fonts/fa-brands-400.eot	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-brands-400.eot	(from https://spark.bootlab.io/css/modern.css)
23:16:03	134622/134622	---M-Z	200	added ('OK')	application/octet-stream	etag:%2287238d2daed10c1cb56b739b57c44ccf-ssl-df%22	https://spark.bootlab.io/fonts/fa-brands-400.eot?	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-brands-400d41d.eot	(from https://spark.bootlab.io/css/modern.css)
23:16:04	203980/203980	---M--	200	added ('OK')	font/ttf	etag:%2235dcf662edb86a9431f65590f17e7fbf-ssl%22	https://spark.bootlab.io/fonts/fa-solid-900.ttf	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-solid-900.ttf	(from https://spark.bootlab.io/css/modern.css)
23:16:04	914125/914125	---MCZ	200	added ('OK')	image/svg+xml	etag:%22d14f573adc52260f8babdf4dcccc5985-ssl-df%22	https://spark.bootlab.io/fonts/fa-solid-900.svg	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-solid-900.svg	(from https://spark.bootlab.io/css/modern.css)
23:16:05	77400/77400	---M--	200	added ('OK')	font/woff2	etag:%22c0fc9e080233843eda285051c48390c5-ssl%22	https://spark.bootlab.io/fonts/fa-brands-400.woff2	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-brands-400.woff2	(from https://spark.bootlab.io/css/modern.css)
23:16:07	90672/90672	---MCZ	200	added ('OK')	application/font-woff	etag:%2239261fcdfe3fb560b2fd93f6029348a3-ssl-df%22	https://spark.bootlab.io/fonts/fa-brands-400.woff	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-brands-400.woff	(from https://spark.bootlab.io/css/modern.css)
23:16:07	134316/134316	---M--	200	added ('OK')	font/ttf	etag:%220c43cff08455e624f81d5eb56e686664-ssl%22	https://spark.bootlab.io/fonts/fa-brands-400.ttf	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-brands-400.ttf	(from https://spark.bootlab.io/css/modern.css)
23:16:10	730302/730302	---MCZ	200	added ('OK')	image/svg+xml	etag:%2256d434cdba50eb649c7872c1c7766faf-ssl-df%22	https://spark.bootlab.io/fonts/fa-brands-400.svg	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/fonts/fa-brands-400.svg	(from https://spark.bootlab.io/css/modern.css)
